time,open,high,low,close,volume
2024-03-19 12:50:00+00:00,1.0854,1.08545,1.08504,1.08514,821
2024-03-19 12:55:00+00:00,1.08514,1.08532,1.08493,1.08516,1210
2024-03-19 13:00:00+00:00,1.08516,1.08573,1.08511,1.0855,1441
2024-03-19 13:05:00+00:00,1.0855,1.08561,1.08539,1.08542,976
2024-03-19 13:10:00+00:00,1.08542,1.08545,1.08518,1.08534,993
2024-03-19 13:15:00+00:00,1.08534,1.0854,1.08517,1.08532,1225
2024-03-19 13:20:00+00:00,1.08532,1.08545,1.08526,1.08541,972
2024-03-19 13:25:00+00:00,1.08541,1.08562,1.08531,1.08539,839
2024-03-19 13:30:00+00:00,1.08539,1.0855,1.08519,1.08545,917
2024-03-19 13:35:00+00:00,1.08545,1.0856,1.08524,1.0853,1105
2024-03-19 13:40:00+00:00,1.0853,1.08534,1.08494,1.08494,1015
2024-03-19 13:45:00+00:00,1.08494,1.08524,1.08492,1.0852,986
2024-03-19 13:50:00+00:00,1.0852,1.08544,1.08519,1.08536,939
2024-03-19 13:55:00+00:00,1.08536,1.08542,1.08532,1.08542,760
2024-03-19 14:00:00+00:00,1.08542,1.08576,1.08536,1.0855,816
2024-03-19 14:05:00+00:00,1.0855,1.08583,1.08546,1.08581,775
2024-03-19 14:10:00+00:00,1.08581,1.08598,1.08574,1.08597,931
2024-03-19 14:15:00+00:00,1.08597,1.08637,1.08597,1.08631,1007
2024-03-19 14:20:00+00:00,1.08631,1.08641,1.08625,1.08637,807
2024-03-19 14:25:00+00:00,1.08637,1.08655,1.08619,1.08625,1060
2024-03-19 14:30:00+00:00,1.08625,1.0863,1.08616,1.0862,944
2024-03-19 14:35:00+00:00,1.0862,1.08628,1.08604,1.08627,1069
2024-03-19 14:40:00+00:00,1.08627,1.08634,1.08611,1.08617,1041
2024-03-19 14:45:00+00:00,1.08617,1.08631,1.08612,1.08614,1121
2024-03-19 14:50:00+00:00,1.08614,1.08623,1.08605,1.08614,848
